participant_id	age	sex	task	condition	comprehension
sub-049	24,26,27,27	F,F,F,F	pieman,schema,shapessocial,shapesphysical	n/a,n/a,social-movie-physical,social-movie-physical	n/a,n/a,8.0,8.0
sub-058	28,28,28,31,31	F,F,F,F,F	pieman,tunnel,lucy,shapessocial,shapesphysical	n/a,n/a,n/a,social-movie-physical,social-movie-physical	n/a,n/a,n/a,8.0,8.0
sub-095	20,20,20,20,22,22	M,M,M,M,M,M	prettymouth,milkyway,notthefallintact,notthefallshortscram,shapessocial,shapesphysical	affair,original,intact-shortscram,intact-shortscram,movie-physical-social,movie-physical-social	0.963,0.821,n/a,n/a,n/a,n/a
sub-115	24,23,23	F,F,F	milkyway,shapessocial,shapesphysical	synonyms,physical-social-movie,physical-social-movie	n/a,n/a,n/a
sub-127	31,30,30,32,32,32,32	F,F,F,F,F,F,F	milkyway,shapessocial,shapesphysical,piemanpni,bronx,forgot,black	synonyms,movie-physical-social,movie-physical-social,n/a,n/a,n/a,n/a	n/a,n/a,n/a,0.683,0.44,0.44,0.76
sub-181	34,35,35	M,M,M	schema,shapessocial,shapesphysical	n/a,movie-social-physical,movie-social-physical	n/a,n/a,n/a
sub-186	23,23,23	M,M,M	schema,shapessocial,shapesphysical	n/a,social-movie-physical,social-movie-physical	n/a,8.0,8.0
sub-190	21,21,21,21	F,F,F,F	schema,shapessocial,shapesphysical,21styear	n/a,social-movie-physical,social-movie-physical,n/a	n/a,10.0,10.0,1.0
sub-191	18,18,18	M,M,M	schema,shapessocial,shapesphysical	n/a,movie-physical-social,movie-physical-social	n/a,n/a,n/a
sub-200	26,26,26	F,F,F	schema,shapessocial,shapesphysical	n/a,movie-social-physical,movie-social-physical	n/a,n/a,n/a
sub-201	32,33,33,33	M,M,M,M	schema,shapessocial,shapesphysical,21styear	n/a,physical-movie-social,physical-movie-social,n/a	n/a,n/a,n/a,0.963
sub-206	20,20	F,F	shapessocial,shapesphysical	movie-social-physical,movie-social-physical	n/a,n/a
sub-207	20,20	F,F	shapessocial,shapesphysical	movie-social-physical,movie-social-physical	n/a,n/a
sub-208	21,21	F,F	shapessocial,shapesphysical	movie-social-physical,movie-social-physical	n/a,n/a
sub-209	22,22	M,M	shapessocial,shapesphysical	movie-social-physical,movie-social-physical	n/a,n/a
sub-210	21,21	F,F	shapessocial,shapesphysical	movie-social-physical,movie-social-physical	n/a,n/a
